day,time,course_code,room_code
Tuesday,3 10:50 - 11:45,CSE2257,QS06
Tuesday,4 11:45 - 12:35,CDV2000,QS06
Tuesday,6 1:25 - 2:20,CSE1500,QS06
Tuesday,7 2:30 - 3:25,MAT2501,QS06
Wednesday,1 8:50 - 9:45,CSE2257,QS06
Wednesday,2 9:45 - 10:40,CSE2253,QS06
Wednesday,3 10:50 - 11:45,MAT2501,QS06
Wednesday,4 11:45 - 12:35,CSE2251,QS06
Wednesday,6 1:25 - 2:20,CSE2271,QS06
Thursday,1 8:50 - 9:45,CSE2252,LTL03
Thursday,3 10:50 - 11:45,APT4002,QS06
Thursday,6 1:25 - 2:20,MAT2501,QS06
Thursday,7 2:30 - 3:25,CSE1500,QS06
Friday,1 8:50 - 9:45,MAT2501,QS06
Friday,2 9:45 - 10:40,CSE2253,QS06
Friday,3 10:50 - 11:45,CSE2271,QS06
Friday,4 11:45 - 12:35,CSE2257,QS06
Friday,6 1:25 - 2:20,CSE2251,QS06
Friday,7 2:30 - 3:25,CDV2000,QS06
Monday,1 8:50 - 9:45,CSE2251,NT02
Monday,2 9:45 - 10:40,CSE2253,NT02
Monday,3 10:50 - 11:45,CIT2400,NT02
Monday,4 11:45 - 12:35,CSE2257,NT02
Monday,7 2:30 - 3:25,CSE2258,NT02
Monday,8 3:25 - 4:15,MAT2501,NT02
Tuesday,1 8:50 - 9:45,CSE2257,NT02
Tuesday,3 10:50 - 11:45,CSE2258,NT02
Tuesday,4 11:45 - 12:35,MAT2501,NT02
Tuesday,6 1:25 - 2:20,CSE2253,NT02
Wednesday,1 8:50 - 9:45,CSE2252,DFL05
Wednesday,3 10:50 - 11:45,CSE2258,NT02
Wednesday,4 11:45 - 12:35,CSE2251,NT02
Wednesday,6 1:25 - 2:20,CIT2400,NT02
Thursday,1 8:50 - 9:45,MAT2501,NT02
Thursday,2 9:45 - 10:40,CSE2251,NT02
Thursday,3 10:50 - 11:45,CSE2254,LFL03
Thursday,6 1:25 - 2:20,CSE1500,NT02
Thursday,7 2:30 - 3:25,CSE2259,LGL03
Friday,1 8:50 - 9:45,CSE2253,NT02
Friday,2 9:45 - 10:40,CIT2400,NT02
Friday,3 10:50 - 11:45,MAT2501,NT02
Friday,4 11:45 - 12:35,CSE2257,NT02
Friday,6 1:25 - 2:20,CSE1500,NT02
Friday,7 2:30 - 3:25,APT4002,NT02
Monday,1 8:50 - 9:45,CSE2253,NT03
Monday,2 9:45 - 10:40,MAT2501,NT03
Monday,3 10:50 - 11:45,CSE2251,NT03
Monday,4 11:45 - 12:35,CSE2258,NT03
Monday,6 1:25 - 2:20,CSE1500,NT03
Monday,7 2:30 - 3:25,CSE2254,LFL02
Tuesday,2 9:45 - 10:40,CIT2400,NT03
Tuesday,3 10:50 - 11:45,CSE2252,DFL04
Tuesday,6 1:25 - 2:20,CSE2251,NT03
Tuesday,7 2:30 - 3:25,CSE2253,NT03
Tuesday,8 3:25 - 4:15,CSE2257,NT03
Wednesday,1 8:50 - 9:45,CSE2258,NT03
Wednesday,2 9:45 - 10:40,MAT2501,NT03
Wednesday,3 10:50 - 11:45,APT4002,NT03
Thursday,1 8:50 - 9:45,CIT2400,NT03
Thursday,2 9:45 - 10:40,CSE2258,NT03
Thursday,3 10:50 - 11:45,CSE2257,NT03
Thursday,4 11:45 - 12:35,MAT2501,NT03
Thursday,6 1:25 - 2:20,CSE2253,NT03
Thursday,7 2:30 - 3:25,CSE2251,NT03
Thursday,8 3:25 - 4:15,CSE1500,NT03
Friday,3 10:50 - 11:45,CIT2400,NT03
Friday,4 11:45 - 12:35,MAT2501,NT03
Friday,6 1:25 - 2:20,CSE2257,NT03
Monday,1 8:50 - 9:45,MAT2501,NT01
Monday,2 9:45 - 10:40,CSE1500,NT01
Monday,3 10:50 - 11:45,CSE2252,DSL03
Monday,6 1:25 - 2:20,CSE2258,NT02
Monday,7 2:30 - 3:25,APT4002,NT03
Tuesday,1 8:50 - 9:45,CSE2258,NT03
Tuesday,2 9:45 - 10:40,CSE2257,NT02
Tuesday,3 10:50 - 11:45,MAT2501,NT03
Tuesday,4 11:45 - 12:35,CIT2400,NT03
Tuesday,7 2:30 - 3:25,CSE1500,NT02
Tuesday,8 3:25 - 4:15,CSE2251,NT02
Wednesday,1 8:50 - 9:45,CIT2400,NT02
Wednesday,2 9:45 - 10:40,MAT2501,NT02
Wednesday,3 10:50 - 11:45,CSE2259,LGL05
Wednesday,6 1:25 - 2:20,CSE2253,NT03
Thursday,3 10:50 - 11:45,CSE2251,NT02
Thursday,4 11:45 - 12:35,CSE2253,NT02
Thursday,7 2:30 - 3:25,CIT2400,NT02
Thursday,8 3:25 - 4:15,CSE2257,NT02
Friday,1 8:50 - 9:45,CSE2258,NT03
Friday,2 9:45 - 10:40,CSE2257,NT03
Friday,3 10:50 - 11:45,CSE2254,LFL02
Friday,6 1:25 - 2:20,CSE2253,NT01
Friday,7 2:30 - 3:25,CSE2251,NT03
Friday,8 3:25 - 4:15,MAT2501,NT03
Monday,1 8:50 - 9:45,CSE2251,NT04
Monday,2 9:45 - 10:40,MAT2501,NT04
Monday,3 10:50 - 11:45,APT4002,NT04
Monday,7 2:30 - 3:25,CSE2258,NT04
Tuesday,1 8:50 - 9:45,CSE2257,NT04
Tuesday,2 9:45 - 10:40,CSE2253,NT04
Tuesday,3 10:50 - 11:45,CSE2258,NT04
Tuesday,4 11:45 - 12:35,CSE1500,NT04
Tuesday,6 1:25 - 2:20,CSE2251,NT04
Tuesday,7 2:30 - 3:25,MAT2501,NT04
Wednesday,3 10:50 - 11:45,CSE2259,LTL04
Wednesday,6 1:25 - 2:20,CSE2257,NT04
Thursday,1 8:50 - 9:45,CSE1500,NT04
Thursday,2 9:45 - 10:40,CSE2253,NT04
Thursday,3 10:50 - 11:45,CSE2254,LTL01
Thursday,6 1:25 - 2:20,MAT2501,NT04
Thursday,7 2:30 - 3:25,CSE2251,NT04
Friday,1 8:50 - 9:45,CSE2252,LTL03
Friday,3 10:50 - 11:45,CSE2258,NT04
Friday,4 11:45 - 12:35,MAT2501,NT04
Friday,6 1:25 - 2:20,CSE2257,NT04
Friday,7 2:30 - 3:25,CSE2253,NT04
